"","catalogNumber","verbatimLatitude","verbatimLongitude","verbatimCoordinates","verbatimSRS","decimalLongitude","decimalLatitude"
"178","GC178",4050561.94,450657.27,"19F 450657,27  4050561,94","WGS84",-69.7472439933689,-53.6913209117017
"179","GC179",4050534.64,450655.59,"19F 450655,59  4050534,64","WGS84",-69.7472737778501,-53.6915661149545
"180","GC180",4050459.94,450748.59,"19F 450748,59  4050459,94","WGS84",-69.7458773804757,-53.6922462671926
"181","GC181",4050251.45,450910.93,"19F 450910,93  4050251,45","WGS84",-69.7434521000187,-53.6941353784741
"182","GC182",4051699.34,451601.53,"19F 451601,53  4051699,34","WGS84",-69.7327679624452,-53.6811866971191
"183","GC183",4096299.03,512328.88,"19F 512328,88  4096299,03","WGS84",-68.8150806127784,-53.2823916655862
"184","GC184",4098378.02,514955.44,"19F 514955,44  4098378,02","WGS84",-68.7757832607811,-53.2636361471588
"185","GC185",4098245.82,514938.35,"19F 514938,35  4098245,82","WGS84",-68.7760332685421,-53.2648249691973
"186","GC186",4098123.94,514878.31,"19F 514878,31  4098123,94","WGS84",-68.7769277233601,-53.2659222308248
"187","GC187",4098130.03,514908.34,"19F 514908,34  4098130,03","WGS84",-68.7764777692109,-53.2658666449535
"188","GC188",4098142.63,514831.86,"19F 514831,86  4098142,63","WGS84",-68.7776250196076,-53.2657555279609
"189","GC189",4097832.13,514609.51,"19F 514609,51  4097832,13","WGS84",-68.7809444355449,-53.2685527699101
"190","GC190",4077976.16,489685.2,"19F 489685,2  4077976,16","WGS84",-69.1553083577147,-53.4471360901863
"191","GC191",4077868.07,489716.8,"19F 489716,8  4077868,07","WGS84",-69.1548360963597,-53.4481082982856
"192","GC192",4077819.34,489764.13,"19F 489764,13  4077819,34","WGS84",-69.1541250279384,-53.448547239934
"193","GC193",4074256.13,491260.39,"19F 491260,39  4074256,13","WGS84",-69.1316944819168,-53.480602810491
"194","GC194",4072843.57,492337.39,"19F 492337,39  4072843,57","WGS84",-69.1155000268607,-53.4933166312997
"195","GC195",4072820.04,492311.08,"19F 492311,08  4072820,04","WGS84",-69.1158971784324,-53.4935277506963
"196","GC196",4072765.39,492154.71,"19F 492154,71  4072765,39","WGS84",-69.1182555470297,-53.4940166725444
"197","GC197",4072552.62,492061.27,"19F 492061,27  4072552,62","WGS84",-69.1196693907263,-53.4959277879871
"198","GC198",4072176.55,491892.75,"19F 491892,75  4072176,55","WGS84",-69.1222193959959,-53.4993055813376
"199","GC199",4078467.26,493796.76,"19F 493796,76  4078467,26","WGS84",-69.0933916692495,-53.4427861543871
"200","GC200",4081164.28,497183.04,"19F 497183,04  4081164,28","WGS84",-69.0423860912604,-53.4185722263023
"201","GC201",4072100.45,493213.08,"19F 493213,08  4072100,45","WGS84",-69.1023166825269,-53.5000083113753
"202","GC202",4072089.04,493228.76,"19F 493228,76  4072089,04","WGS84",-69.1020805443667,-53.5001110740446
"203","GC203",4072171.46,493169.68,"19F 493169,68  4072171,46","WGS84",-69.1029694145564,-53.4993694650034
"204","GC204",4072133.79,493186.68,"19F 493186,68  4072133,79","WGS84",-69.1027139525458,-53.499708288227
"205","GC205",4078389.61,493731.55,"19F 493731,55  4078389,61","WGS84",-69.09437497099,-53.4434833589876
"206","GC206",4078389.33,493749.81,"19F 493749,81  4078389,33","WGS84",-69.0941000625909,-53.4434860926879
"207","GC207",4077360.06,493828.28,"19F 493828,28  4077360,06","WGS84",-69.092938847511,-53.45273885619
"208","GC208",4081357.34,489874.46,"19F 489874,46  4081357,34","WGS84",-69.1523499880262,-53.41674720275
"209","GC209",4081401.59,489902.61,"19F 489902,61  4081401,59","WGS84",-69.151925024068,-53.4163499893537
"210","GC210",4081512.96,490108.05,"19F 490108,05  4081512,96","WGS84",-69.1488304964829,-53.4153528020706
"211","GC211",4081488.68,490022.06,"19F 490022,06  4081488,68","WGS84",-69.1501250328703,-53.4155694301601
"212","GC212",4076184.38,487262.17,"19F 487262,17  4076184,38","WGS84",-69.1918639245427,-53.4631888480141
"213","GC213",4075662.01,487930.91,"19F 487930,91  4075662,01","WGS84",-69.1818111278511,-53.4679000127581
"214","GC214",4075789.04,487816.63,"19F 487816,63  4075789,04","WGS84",-69.1835277292108,-53.4667555497983
"215","GC215",4090858.4,473902.63,"19F 473902,63  4090858,4","WGS84",-69.391874944918,-53.3307971789406
"216","GC216",4078742.81,497915.34,"19F 497915,34  4078742,81","WGS84",-69.0313833868669,-53.4403416825981
"217","GC217",4078328.86,498272.53,"19F 498272,53  4078328,86","WGS84",-69.0260083647158,-53.4440638706756
"218","GC218",4078942.3,499454.75,"19F 499454,75  4078942,3","WGS84",-69.0082080879339,-53.4385523543816
"219","GC219",4084494.96,484802.9,"19F 484802,9  4084494,96","WGS84",-69.2285055253192,-53.3884222162381
"220","GC220",4052273.3,507391.73,"19F 507391,73  4052273,3","WGS84",-68.8880956563392,-53.6782168922634
"221","GC221",4052260.93,507465.57,"19F 507465,57  4052260,93","WGS84",-68.8869774879001,-53.6783270289509
"222","GC222",4052236.44,507529.32,"19F 507529,32  4052236,44","WGS84",-68.8860117737886,-53.6785462398813
"223","GC223",4051849.05,506603.16,"19F 506603,16  4051849,05","WGS84",-68.9000248672211,-53.682040773741
"224","GC224",4051577.65,508099.28,"19F 508099,28  4051577,65","WGS84",-68.877365830043,-53.6844591699682
"225","GC225",4050795.47,508852.77,"19F 508852,77  4050795,47","WGS84",-68.8659346641038,-53.6914774640211
"226","GC226",4050742.54,508893.94,"19F 508893,94  4050742,54","WGS84",-68.8653096737677,-53.6919525183824
"227","GC227",4050565.22,509364.06,"19F 509364,06  4050565,22","WGS84",-68.8581848173239,-53.6935381166637
"228","GC228",4060501.71,521449.61,"19F 521449,61  4060501,71","WGS84",-68.6758417046852,-53.6038694394185
"229","GC229",4060552.35,521459.03,"19F 521459,03  4060552,35","WGS84",-68.6757028336201,-53.603413882636
"230","GC230",4078233.89,490891.8,"19F 490891,8  4078233,89","WGS84",-69.1371333669637,-53.4448416606469
"231","GC231",4079104.8,492138.11,"19F 492138,11  4079104,8","WGS84",-69.1183471735705,-53.4370333402987
"232","GC232",4079094.29,492138.12,"19F 492138,12  4079094,29","WGS84",-69.1183472855169,-53.437127812187
"233","GC233",4079158.84,492114.58,"19F 492114,58  4079158,84","WGS84",-69.1187000226193,-53.436547236927
"234","GC234",4060539.42,499939.16,"19F 499939,16  4060539,42","WGS84",-69.0009194482443,-53.6039694886078
"235","GC235",4063139,500525.79,"19F 500525,79  4063139","WGS84",-68.9920583488375,-53.5806028201005
"236","GC236",4063162.8,500552.09,"19F 500552,09  4063162,8","WGS84",-68.9916611497901,-53.5803888655862
"237","GC237",4060679.87,502107.58,"19F 502107,58  4060679,87","WGS84",-68.9681500199818,-53.6027028169333
"238","GC238",4060781.85,502116.82,"19F 502116,82  4060781,85","WGS84",-68.9680110766899,-53.6017861308564
"239","GC239",4063747.48,503027.32,"19F 503027,32  4063747,48","WGS84",-68.9542805824652,-53.5751249926823
