,Unnamed: 0,decimalLongitude,decimalLatitude,verbatimSRS,geodeticDatum,continent,country,countryCode,stateProvince,county,municipality,verbatimCoordinates,verbatimCoordinateSystem,dynamicProperties,coordinateUncertaintyInMeters,coordinatePrecision,georeferencedDate,georeferenceProtocol 
47,48,-70.0556801,-18.5801046,unknown,datum not recorded,,Chile,CL,Arica y Parinacota,Arica,Arica,-18.5801045839095 -70.0556801157993,decimal degrees,"{'textFieldMeasurementError': 30, 'ChoiceDistUnits': 'm', 'ChoiceCoordSource': 'GPS', 'TextFieldExtent': 10}",2718,0.0000001,2022-11-29T07:49:21.001Z,"Georeferencing Quick Reference Guide (Zermoglio et al. 2020, https://doi.org/10.35035/e09p-h128)"
48,49,-70.0423195,-18.578724,unknown,datum not recorded,,Chile,CL,Arica y Parinacota,Arica,Arica,-18.5787239789961 -70.0423194705843,decimal degrees,"{'textFieldMeasurementError': 30, 'ChoiceDistUnits': 'm', 'ChoiceCoordSource': 'GPS', 'TextFieldExtent': 10}",2718,0.0000001,2022-11-29T07:49:21.828Z,"Georeferencing Quick Reference Guide (Zermoglio et al. 2020, https://doi.org/10.35035/e09p-h128)"
49,50,-70.0262635,-18.5813876,unknown,datum not recorded,,Chile,CL,Arica y Parinacota,Arica,Arica,-18.5813875760124 -70.026263501921,decimal degrees,"{'textFieldMeasurementError': 30, 'ChoiceDistUnits': 'm', 'ChoiceCoordSource': 'GPS', 'TextFieldExtent': 10}",2718,0.0000001,2022-11-29T07:49:22.711Z,"Georeferencing Quick Reference Guide (Zermoglio et al. 2020, https://doi.org/10.35035/e09p-h128)"
50,51,-70.1023063,-18.5613485,unknown,datum not recorded,,Chile,CL,Arica y Parinacota,Arica,Arica,-18.561348544321 -70.1023063239755,decimal degrees,"{'textFieldMeasurementError': 30, 'ChoiceDistUnits': 'm', 'ChoiceCoordSource': 'GPS', 'TextFieldExtent': 10}",2718,0.0000001,2022-11-29T07:49:23.512Z,"Georeferencing Quick Reference Guide (Zermoglio et al. 2020, https://doi.org/10.35035/e09p-h128)"
51,52,-70.1202131,-18.5524323,unknown,datum not recorded,,Chile,CL,Arica y Parinacota,Arica,Arica,-18.5524322838383 -70.1202131466326,decimal degrees,"{'textFieldMeasurementError': 30, 'ChoiceDistUnits': 'm', 'ChoiceCoordSource': 'GPS', 'TextFieldExtent': 10}",2718,0.0000001,2022-11-29T07:49:24.224Z,"Georeferencing Quick Reference Guide (Zermoglio et al. 2020, https://doi.org/10.35035/e09p-h128)"
52,53,-70.1672066,-18.5341918,unknown,datum not recorded,,Chile,CL,Arica y Parinacota,Arica,Arica,-18.5341918132883 -70.1672065830365,decimal degrees,"{'textFieldMeasurementError': 30, 'ChoiceDistUnits': 'm', 'ChoiceCoordSource': 'GPS', 'TextFieldExtent': 10}",2718,0.0000001,2022-11-29T07:49:25.055Z,"Georeferencing Quick Reference Guide (Zermoglio et al. 2020, https://doi.org/10.35035/e09p-h128)"
53,54,-70.1812657,-18.5163114,unknown,datum not recorded,,Chile,CL,Arica y Parinacota,Arica,Arica,-18.5163113698027 -70.1812656745257,decimal degrees,"{'textFieldMeasurementError': 30, 'ChoiceDistUnits': 'm', 'ChoiceCoordSource': 'GPS', 'TextFieldExtent': 10}",2718,0.0000001,2022-11-29T07:49:25.930Z,"Georeferencing Quick Reference Guide (Zermoglio et al. 2020, https://doi.org/10.35035/e09p-h128)"
54,55,-70.256954,-18.5064255,unknown,datum not recorded,,Chile,CL,Arica y Parinacota,Arica,Arica,-18.5064255308934 -70.2569540212107,decimal degrees,"{'textFieldMeasurementError': 30, 'ChoiceDistUnits': 'm', 'ChoiceCoordSource': 'GPS', 'TextFieldExtent': 10}",2718,0.0000001,2022-11-29T07:49:26.713Z,"Georeferencing Quick Reference Guide (Zermoglio et al. 2020, https://doi.org/10.35035/e09p-h128)"
55,56,-69.9786433,-18.5813245,unknown,datum not recorded,,Chile,CL,Arica y Parinacota,Arica,Arica,-18.5813244822001 -69.9786433023875,decimal degrees,"{'textFieldMeasurementError': 30, 'ChoiceDistUnits': 'm', 'ChoiceCoordSource': 'GPS', 'TextFieldExtent': 10}",2718,0.0000001,2022-11-29T07:49:27.489Z,"Georeferencing Quick Reference Guide (Zermoglio et al. 2020, https://doi.org/10.35035/e09p-h128)"
56,57,-69.9659313,-18.5789591,unknown,datum not recorded,,Chile,CL,Arica y Parinacota,Arica,Arica,-18.5789590693149 -69.9659312648736,decimal degrees,"{'textFieldMeasurementError': 30, 'ChoiceDistUnits': 'm', 'ChoiceCoordSource': 'GPS', 'TextFieldExtent': 10}",2718,0.0000001,2022-11-29T07:49:28.309Z,"Georeferencing Quick Reference Guide (Zermoglio et al. 2020, https://doi.org/10.35035/e09p-h128)"
57,58,-70.0808217,-18.5666961,unknown,datum not recorded,,Chile,CL,Arica y Parinacota,Arica,Arica,-18.5666961027161 -70.0808216825434,decimal degrees,"{'textFieldMeasurementError': 30, 'ChoiceDistUnits': 'm', 'ChoiceCoordSource': 'GPS', 'TextFieldExtent': 10}",2718,0.0000001,2022-11-29T07:49:29.128Z,"Georeferencing Quick Reference Guide (Zermoglio et al. 2020, https://doi.org/10.35035/e09p-h128)"
58,59,-70.1888267,-18.5179629,unknown,datum not recorded,,Chile,CL,Arica y Parinacota,Arica,Arica,-18.5179628635135 -70.1888266909481,decimal degrees,"{'textFieldMeasurementError': 30, 'ChoiceDistUnits': 'm', 'ChoiceCoordSource': 'GPS', 'TextFieldExtent': 10}",2718,0.0000001,2022-11-29T07:49:29.927Z,"Georeferencing Quick Reference Guide (Zermoglio et al. 2020, https://doi.org/10.35035/e09p-h128)"
